Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,9.000000,9.090000,8.740000,8.860000,8.860000,4609900
2020-10-09,8.870000,10.770000,8.850000,10.010000,10.010000,39465100
2020-10-12,10.030000,10.490000,9.360000,9.580000,9.580000,11475200
2020-10-13,9.360000,10.130000,9.360000,9.690000,9.690000,8605900
2020-10-14,9.650000,9.740000,9.400000,9.570000,9.570000,5401800
2020-10-15,9.400000,9.640000,9.180000,9.330000,9.330000,4983800
2020-10-16,9.410000,9.900000,8.930000,8.970000,8.970000,10662000
2020-10-19,9.050000,9.620000,8.680000,8.880000,8.880000,15584600
2020-10-20,9.050000,9.370000,8.860000,8.910000,8.910000,5953600
2020-10-21,8.940000,8.990000,8.660000,8.700000,8.700000,5436800
2020-10-22,8.690000,8.760000,8.180000,8.480000,8.480000,6888400
2020-10-23,8.540000,8.660000,8.310000,8.470000,8.470000,4162400
2020-10-26,8.360000,8.380000,7.600000,7.880000,7.880000,7338100
2020-10-27,7.870000,7.980000,7.640000,7.680000,7.680000,2936800
2020-10-28,7.350000,7.520000,7.080000,7.210000,7.210000,6680000
2020-10-29,7.240000,7.530000,7.120000,7.410000,7.410000,5628100
2020-10-30,7.280000,7.300000,6.730000,6.920000,6.920000,6399100
2020-11-02,6.990000,7.130000,6.820000,6.960000,6.960000,3997800
2020-11-03,7.040000,7.340000,6.950000,7.140000,7.140000,5098200
2020-11-04,7.460000,7.520000,6.920000,7.160000,7.160000,7781900
2020-11-05,7.130000,7.340000,7.060000,7.300000,7.300000,3948900
2020-11-06,7.140000,7.150000,6.670000,6.720000,6.720000,8246500
2020-11-09,6.770000,6.920000,6.460000,6.680000,6.680000,7899300
2020-11-10,6.720000,6.890000,6.530000,6.680000,6.680000,5903100
2020-11-11,6.530000,6.760000,6.360000,6.630000,6.630000,4950700
2020-11-12,6.480000,7.080000,6.460000,6.730000,6.730000,6455700
2020-11-13,6.800000,7.150000,6.710000,6.710000,6.710000,6302300
2020-11-16,6.720000,6.960000,6.620000,6.880000,6.880000,4412200
2020-11-17,6.790000,7.660000,6.790000,7.230000,7.230000,9336900
2020-11-18,7.360000,7.550000,7.080000,7.100000,7.100000,4423000
2020-11-19,7.080000,7.570000,7.050000,7.490000,7.490000,4344500
2020-11-20,7.400000,7.430000,7.160000,7.210000,7.210000,3840400
2020-11-23,7.290000,7.330000,6.950000,7.230000,7.230000,5552500
2020-11-24,7.200000,7.220000,6.830000,6.970000,6.970000,4640700
2020-11-25,6.900000,8.300000,6.840000,7.960000,7.960000,26067100
2020-11-27,8.150000,8.160000,7.350000,7.460000,7.460000,6080900
2020-11-30,7.500000,7.930000,7.330000,7.630000,7.630000,7203700
2020-12-01,7.650000,7.700000,7.120000,7.220000,7.220000,5074000
2020-12-02,7.150000,7.800000,6.910000,7.250000,7.250000,5438900
2020-12-03,7.300000,7.420000,7.130000,7.230000,7.230000,2846700
2020-12-04,7.290000,7.650000,7.230000,7.530000,7.530000,3978300
2020-12-07,12.570000,14.180000,11.120000,12.040000,12.040000,134886000
2020-12-08,13.130000,13.250000,10.950000,11.150000,11.150000,28934800
2020-12-09,10.700000,10.730000,9.490000,9.660000,9.660000,18264400
2020-12-10,10.000000,10.500000,9.770000,10.000000,10.000000,9824300
2020-12-11,9.900000,10.120000,9.380000,10.100000,10.100000,6551500
2020-12-14,9.840000,10.170000,9.610000,9.690000,9.690000,3932000
2020-12-15,9.700000,9.750000,9.230000,9.550000,9.550000,4245000
2020-12-16,9.450000,9.550000,9.120000,9.340000,9.340000,4049900
2020-12-17,9.210000,10.300000,9.190000,9.780000,9.780000,8456600
2020-12-18,9.760000,9.990000,9.460000,9.590000,9.590000,4096000
2020-12-21,9.280000,9.820000,9.260000,9.430000,9.430000,3678400
2020-12-22,9.430000,9.620000,9.300000,9.520000,9.520000,3432900
2020-12-23,9.470000,9.500000,9.230000,9.360000,9.360000,2968200
2020-12-24,9.370000,9.380000,8.660000,8.720000,8.720000,4192000
2020-12-28,8.800000,8.830000,8.150000,8.370000,8.370000,6775700
2020-12-29,8.300000,8.670000,8.040000,8.270000,8.270000,6260100
2020-12-30,8.200000,8.720000,8.170000,8.620000,8.620000,4085700
2020-12-31,8.620000,8.630000,8.110000,8.140000,8.140000,3959400
2021-01-04,8.190000,8.370000,7.850000,8.170000,8.170000,3977400
2021-01-05,8.110000,8.350000,8.060000,8.260000,8.260000,2679300
2021-01-06,8.240000,8.600000,8.130000,8.160000,8.160000,4142700
2021-01-07,8.240000,8.850000,8.200000,8.590000,8.590000,5395900
2021-01-08,8.610000,8.670000,8.150000,8.400000,8.400000,6920200
2021-01-11,8.190000,8.280000,8.020000,8.120000,8.120000,4926300
2021-01-12,8.100000,8.170000,7.880000,8.050000,8.050000,4054200
2021-01-13,7.990000,8.000000,7.820000,7.990000,7.990000,3644100
2021-01-14,7.940000,8.910000,7.850000,8.330000,8.330000,8530500
2021-01-15,8.330000,8.370000,8.020000,8.140000,8.140000,3071700
2021-01-19,8.140000,9.350000,8.100000,8.840000,8.840000,11016600
2021-01-20,9.000000,9.210000,8.470000,9.030000,9.030000,7941500
2021-01-21,9.250000,9.600000,8.830000,9.190000,9.190000,7156600
2021-01-22,8.960000,9.770000,8.910000,9.460000,9.460000,9546900
2021-01-25,9.860000,10.320000,9.030000,9.550000,9.550000,10821200
2021-01-26,9.570000,9.790000,9.230000,9.430000,9.430000,7540000
2021-01-27,12.720000,13.990000,10.710000,12.080000,12.080000,47906400
2021-01-28,11.500000,11.640000,9.450000,9.870000,9.870000,16196700
2021-01-29,10.200000,10.550000,9.490000,9.590000,9.590000,7684600
2021-02-01,9.900000,10.200000,9.320000,10.020000,10.020000,6601500
2021-02-02,9.710000,9.970000,9.280000,9.440000,9.440000,5636100
